[TRP]
						Atom	Raw	        Charges	Edit
CHARGE,	ILE01,	HD11:	0		16	HD11	0.023792	0.024	 0.016
CHARGE,	ILE01,	HD12:	0		17	HD12	0.023792	0.024	 0.016
CHARGE,	ILE01,	HD13:	0		18	HD13	0.023792	0.024	 0.016

[LEU]
						Atom	Raw	        Charges	Edit
CHARGE,	LEUBK,	 N  :	-0.35		0	N	-0.355153	-0.355	-0.348
CHARGE,	LEUBK,	 H  :	0.25		5	H	0.262417	0.262	 0.269
CHARGE,	LEUBK,	 CA :	0.1		1	CA	-0.101497	-0.101	-0.095
CHARGE,	LEUBK,	 HA :	0		4	HA	0.136951	0.137	 0.144
CHARGE,	LEUBK,	 C  :	0.55		2	C	0.573471	0.573	 0.580
CHARGE,	LEUBK,	 O  :	-0.55		3	O	-0.557847	-0.558	-0.551
CHARGE,	LEU01,	 CB :	0		6	CB	-0.144399	-0.144	-0.148
CHARGE,	LEU01,	 HB2:	0		10	HB1	0.052533	0.053	 0.049
CHARGE,	LEU01,	 HB3:	0		11	HB2	0.052533	0.053	 0.049
CHARGE,	LEU01,	 CG :	0		7	CG	0.191982	0.192	 0.189
CHARGE,	LEU01,	 HG :	0		12	HG	0.000825	0.001	-0.002
CHARGE,	LEU01,	 CD1:	0		8	CD1	-0.123036	-0.123	-0.126
CHARGE,	LEU01,	HD11:	0		13	HD11	0.022376	0.022	 0.019
CHARGE,	LEU01,	HD12:	0		14	HD12	0.022376	0.022	 0.019
CHARGE,	LEU01,	HD13:	0		15	HD13	0.022376	0.022	 0.019
CHARGE,	LEU01,	 CD2:	0		9	CD2	-0.123036	-0.123	-0.126
CHARGE,	LEU01,	HD21:	0		16	HD21	0.022376	0.022	 0.019
CHARGE,	LEU01,	HD22:	0		17	HD22	0.022376	0.022	 0.019
CHARGE,	LEU01,	HD23:	0		18	HD23	0.022376	0.022	 0.019

[ASN]
						Atom	Raw	        Charges	Edit
CHARGE,	ASNBK,	 N  :	-0.35		0	N	-0.430106	-0.430	-0.434
CHARGE,	ASNBK,	 H  :	0.25		1	H	0.254543	0.255	 0.251
CHARGE,	ASNBK,	 CA :	0.1		2	CA	0.044609	0.045	 0.041
CHARGE,	ASNBK,	 HA :	0		3	HA	0.059601	0.060	 0.056
CHARGE,	ASNBK,	 C  :	0.55		4	C	0.617141	0.617	 0.613
CHARGE,	ASNBK,	 O  :	-0.55		5	O	-0.523909	-0.524	-0.528
CHARGE,	ASN01,	 CB :	0		6	CB	-0.09365	-0.094	-0.091
CHARGE,	ASN01,	 HB2:	0		7	HB1	0.043321	0.043	 0.046
CHARGE,	ASN01,	 HB3:	0		8	HB2	0.043321	0.043	 0.046
CHARGE,	ASN01,	 CG :	0.55		9	CG	0.583519	0.584	 0.586
CHARGE,	ASN01,	 OD1:	-0.55		10	OD1	-0.526813	-0.527	-0.524
CHARGE,	ASN01,	 ND2:	-0.78		11	ND2	-0.781735	-0.782	-0.779
CHARGE,	ASN01,	HD21:	0.39		12	HD21	0.355079	0.355	 0.358
CHARGE,	ASN01,	HD22:	0.39		13	HD22	0.355079	0.355	 0.358

[MET]
						Atom	Raw	        Charges	Edit
CHARGE,	METBK,	 N  :	-0.35		0	N	-0.394918	-0.395	-0.387
CHARGE,	METBK,	 H  :	0.25		4	H	0.280537	0.281	 0.288
CHARGE,	METBK,	 CA :	0.1		1	CA	-0.087681	-0.088	-0.080
CHARGE,	METBK,	 HA :	0		5	HA	0.12308	         0.123	 0.131
CHARGE,	METBK,	 C  :	0.55		2	C	0.599684	0.600	 0.607
CHARGE,	METBK,	 O  :	-0.55		3	O	-0.566424	-0.566	-0.559
CHARGE,	MET01,	 CB :	0		6	CB	0.019227	0.019	 0.015
CHARGE,	MET01,	 HB2:	0		10	HB1	0.04884	        0.049	 0.045
CHARGE,	MET01,	 HB3:	0		11	HB2	0.04884	        0.049	 0.045
CHARGE,	MET01,	 CG :	0.06		7	CG	-0.208167	-0.208	-0.212
CHARGE,	MET01,	 HG2:	0		12	HG1	0.124228	0.124	 0.120
CHARGE,	MET01,	 HG3:	0		13	HG2	0.124228	0.124	 0.120
CHARGE,	MET01,	 SD :	-0.12		8	SD	-0.211958	-0.212	-0.216
CHARGE,	MET01,	 CE :	0.06		9	CE	-0.284698	-0.285	-0.289
CHARGE,	MET01,	 HE1:	0		14	HE1	0.128394	0.128	 0.124
CHARGE,	MET01,	 HE2:	0		15	HE2	0.128394	0.128	 0.124
CHARGE,	MET01,	 HE3:	0		16	HE3	0.128394	0.128	 0.124

[PHE]
						Atom	Raw	        Charges	Edit
CHARGE,	PHEBK,	 N  :	-0.35		0	N	-0.37129	-0.371	-0.367
CHARGE,	PHEBK,	 H  :	0.25		4	H	0.234053	0.234	 0.238
CHARGE,	PHEBK,	 CA :	0.1		1	CA	-0.030057	-0.030	-0.026
CHARGE,	PHEBK,	 HA :	0		5	HA	0.102448	0.102	 0.106
CHARGE,	PHEBK,	 C  :	0.55		2	C	0.547987	0.548	 0.552
CHARGE,	PHEBK,	 O  :	-0.55		3	O	-0.506795	-0.507	-0.503
CHARGE,	PHE01,	 CB :	0		6	CB	-0.09872	-0.099	-0.100
CHARGE,	PHE01,	 HB2:	0		13	HB1	0.060989	0.061	 0.059
CHARGE,	PHE01,	 HB3:	0		14	HB2	0.060989	0.061	 0.059
CHARGE,	PHE01,	 CG :	0		7	CG	0.021313	0.021	 0.020
CHARGE,	PHE01,	 CD1:	0		9	CD1	-0.083109	-0.083	-0.085
CHARGE,	PHE01,	 HD1:	0		16	HD1	0.098466	0.098	 0.097
CHARGE,	PHE01,	 CD2:	0		8	CD2	-0.083109	-0.083	-0.085
CHARGE,	PHE01,	 HD2:	0		15	HD2	0.098466	0.098	 0.097
CHARGE,	PHE01,	 CE1:	0		11	CE1	-0.156974	-0.157	-0.159
CHARGE,	PHE01,	 HE1:	0		18	HE1	0.123731	0.124	 0.122
