[TRP]
						Atom	Raw	        Charges	Edit
CHARGE,	LYS01,	 HG2:	0		8	HG1	0.01041	        0.010 	 0.005
CHARGE,	LYS01,	 HG3:	0		9	HG2	0.01041	        0.010	 0.005
CHARGE,	LYS01,	 CD :	0		3	CD	-0.03768	-0.038	-0.043
CHARGE,	LYS01,	 HD2:	0		10	HD1	0.01155	        0.012	 0.006
CHARGE,	LYS01,	 HD3:	0		11	HD2	0.01155	        0.012	 0.006
CHARGE,	LYS01,	 CE :	0		4	CE	0.32604	        0.326	 0.320
CHARGE,	LYS01,	 HE2:	0		12	HE1	-0.03358	-0.034	-0.039
CHARGE,	LYS01,	 HE3:	0		13	HE2	-0.03358	-0.034	-0.039
CHARGE,	LYS01,	 NZ :	-0.78		16	NZ	-1.03581	-1.036	-1.042
CHARGE,	LYS01,	 HZ1:	0.39		14	HZ2	0.38604	         0.386	 0.380
CHARGE,	LYS01,	 HZ2:	0.39		15	HZ3	0.38604	        0.386	 0.380
CHARGE,	LYS+1,	 CB :	0		6	CB	-0.108273	-0.108	-0.104
CHARGE,	LYS+1,	 HB2:	0		11	HB1	0.045214	0.045	 0.049
CHARGE,	LYS+1,	 HB3:	0		15	HB2	0.045214	0.045	 0.049
CHARGE,	LYS+1,	 CG :	0		7	CG	0.033341	0.033	 0.038
CHARGE,	LYS+1,	 HG2:	0		12	HG1	0.010208	0.010	 0.014
CHARGE,	LYS+1,	 HG3:	0		16	HG2	0.010208	0.010	 0.014
CHARGE,	LYS+1,	 CD :	0		8	CD	-0.047841	-0.048	-0.044
CHARGE,	LYS+1,	 HD2:	0		13	HD1	0.070715	0.071	 0.075
CHARGE,	LYS+1,	 HD3:	0		17	HD2	0.070715	0.071	 0.075
CHARGE,	LYS+1,	 CE :	0.33		9	CE	-0.069974	-0.070	-0.066
CHARGE,	LYS+1,	 HE2:	0		14	HE1	0.119522	0.120	 0.124
CHARGE,	LYS+1,	 HE3:	0		18	HE2	0.119522	0.120	 0.124
CHARGE,	LYS+1,	 NZ :	-0.32		10	NZ	-0.250358	-0.250	-0.246
CHARGE,	LYS+1,	 HZ1:	0.33		19	HZ1	0.294561	0.295	 0.299
CHARGE,	LYS+1,	 HZ2:	0.33		20	HZ2	0.294561	0.295	 0.299
CHARGE,	LYS+1,	 HZ3:	0.33		21	HZ3	0.294561	0.295	 0.299

[ARG]
						Atom	RawBKAvg	Charges	Edit
CHARGE,	ARGBK,	 N  :	-0.35		0	N	-0.300879	-0.301	-0.302
CHARGE,	ARGBK,	 H  :	0.25		4	H	0.233693	0.234	 0.233
CHARGE,	ARGBK,	 CA :	0.1		1	CA	-0.131381	-0.131	-0.132
CHARGE,	ARGBK,	 HA :	0		5	HA	0.053266	0.053	 0.052
CHARGE,	ARGBK,	 C  :	0.55		2	C	0.730308	0.730	 0.729
CHARGE,	ARGBK,	 O  :	-0.55		3	O	-0.578332	-0.578	-0.579
CHARGE,	ARG01,	 CB :	0		1	CB	0.036707	0.037	-0.003
CHARGE,	ARG01,	 HB2:	0		6	HB1	0.028012	0.028	-0.011
CHARGE,	ARG01,	 HB3:	0		7	HB2	0.028012	0.028	-0.011
CHARGE,	ARG01,	 CG :	0		2	CG	0.012454	0.012	-0.027
CHARGE,	ARG01,	 HG2:	0		8	HG1	0.002964	0.003	-0.036
CHARGE,	ARG01,	 HG3:	0		9	HG2	0.002964	0.003	-0.036
CHARGE,	ARG01,	 CD :	0.28		3	CD	0.126329	0.126	 0.087
CHARGE,	ARG01,	 HD2:	0		10	HD1	0.068148	0.068	 0.029
CHARGE,	ARG01,	 HD3:	0		11	HD2	0.068148	0.068	 0.029
CHARGE,	ARG01,	 NE :	-0.56		16	NE	-0.46489	-0.465	-0.504
CHARGE,	ARG01,	 CZ :	0.28		4	CZ	0.565543	0.566	 0.526
CHARGE,	ARG01,	 NH1:	-0.75		17	NH1	-0.685774	-0.686	-0.725
CHARGE,	ARG01,	HH11:	0.375		13	HH11	0.391052	0.391	 0.352
CHARGE,	ARG01,	HH12:	0.375		12	HE	0.391052	0.391	 0.352
CHARGE,	ARG01,	 NH2:	-0.75		18	NH2	-0.685774	-0.686	-0.725
CHARGE,	ARG01,	HH21:	0.375		14	HH21	0.391052	0.391	 0.352
CHARGE,	ARG01,	HH22:	0.375		15	HH22	0.391052	0.391	 0.352
CHARGE,	ARG02,	 CB :	0		1	CB	0.036707	0.037	-0.003
CHARGE,	ARG02,	 HB2:	0		6	HB1	0.028012	0.028	-0.011
CHARGE,	ARG02,	 HB3:	0		7	HB2	0.028012	0.028	-0.011
CHARGE,	ARG02,	 CG :	0		2	CG	0.012454	0.012	-0.027
CHARGE,	ARG02,	 HG2:	0		8	HG1	0.002964	0.003	-0.036
CHARGE,	ARG02,	 HG3:	0		9	HG2	0.002964	0.003	-0.036
CHARGE,	ARG02,	 CD :	0.28		3	CD	0.126329	0.126	 0.087
CHARGE,	ARG02,	 HD2:	0		10	HD1	0.068148	0.068	 0.029
CHARGE,	ARG02,	 HD3:	0		11	HD2	0.068148	0.068	 0.029
CHARGE,	ARG02,	 NE :	-0.75		16	NE	-0.685774	-0.686	-0.725
CHARGE,	ARG02,	 HE :	0.375		12	HE	0.391052	0.391	 0.352
CHARGE,	ARG02,	 CZ :	0.28		4	CZ	0.565543	0.566	 0.526
CHARGE,	ARG02,	 NH1:	-0.56		17	NH1	-0.46489	-0.465	-0.504
CHARGE,	ARG02,	HH11:	0.375		13	HH11	0.391052	0.391	 0.352
CHARGE,	ARG02,	 NH2:	-0.75		18	NH2	-0.685774	-0.686	-0.725
CHARGE,	ARG02,	HH21:	0.375		14	HH21	0.391052	0.391	 0.352
CHARGE,	ARG02,	HH22:	0.375		15	HH22	0.391052	0.391	 0.352
CHARGE,	ARG03,	 CB :	0		1	CB	0.036707	0.037	-0.003
CHARGE,	ARG03,	 HB2:	0		6	HB1	0.028012	0.028	-0.011
CHARGE,	ARG03,	 HB3:	0		7	HB2	0.028012	0.028	-0.011
CHARGE,	ARG03,	 CG :	0		2	CG	0.012454	0.012	-0.027
CHARGE,	ARG03,	 HG2:	0		8	HG1	0.002964	0.003	-0.036
CHARGE,	ARG03,	 HG3:	0		9	HG2	0.002964	0.003	-0.036
CHARGE,	ARG03,	 CD :	0.28		3	CD	0.126329	0.126	 0.087
CHARGE,	ARG03,	 HD2:	0		10	HD1	0.068148	0.068	 0.029
CHARGE,	ARG03,	 HD3:	0		11	HD2	0.068148	0.068	 0.029
CHARGE,	ARG03,	 NE :	-0.75		16	NE	-0.685774	-0.686	-0.725
CHARGE,	ARG03,	 HE :	0.375		12	HE	0.391052	0.391	 0.352
CHARGE,	ARG03,	 CZ :	0.28		4	CZ	0.565543	0.566	 0.526
CHARGE,	ARG03,	 NH1:	-0.75		17	NH1	-0.685774	-0.686	-0.725
CHARGE,	ARG03,	HH11:	0.375		13	HH11	0.391052	0.391	 0.352
CHARGE,	ARG03,	HH12:	0.375		15	HH22	0.391052	0.391	 0.352
CHARGE,	ARG03,	 NH2:	-0.56		18	NH2	-0.46489	-0.465	-0.504
CHARGE,	ARG03,	HH21:	0.375		14	HH21	0.391052	0.391	 0.352
CHARGE,	ARG+1,	 CB :	0		6	CB	0.036707	0.037	 0.037
CHARGE,	ARG+1,	 HB2:	0		13	HB1	0.028012	0.028	 0.028
CHARGE,	ARG+1,	 HB3:	0		14	HB2	0.028012	0.028	 0.028
CHARGE,	ARG+1,	 CG :	0		7	CG	0.012454	0.012	 0.013
CHARGE,	ARG+1,	 HG2:	0		15	HG1	0.002964	0.003	 0.003
CHARGE,	ARG+1,	 HG3:	0		16	HG2	0.002964	0.003	 0.003
CHARGE,	ARG+1,	 CD :	0.35		8	CD	0.126329	0.126	 0.127
CHARGE,	ARG+1,	 HD2:	0		17	HD1	0.068148	0.068	 0.069
CHARGE,	ARG+1,	 HD3:	0		18	HD2	0.068148	0.068	 0.069
CHARGE,	ARG+1,	 NE :	-0.35		9	NE	-0.46489	-0.465	-0.465
CHARGE,	ARG+1,	 HE :	0.45		19	HE	0.326274	0.326	 0.327
CHARGE,	ARG+1,	 CZ :	0.35		10	CZ	0.565543	0.566	 0.566
CHARGE,	ARG+1,	 NH1:	-0.7		12	NH1	-0.685774	-0.686	-0.685
CHARGE,	ARG+1,	HH11:	0.4		22	HH11	0.391052	0.391	 0.391
CHARGE,	ARG+1,	HH12:	0.4		23	HH12	0.391052	0.391	 0.391
CHARGE,	ARG+1,	 NH2:	-0.7		11	NH2	-0.685774	-0.686	-0.685
CHARGE,	ARG+1,	HH21:	0.4		21	HH22	0.391052	0.391	 0.391
CHARGE,	ARG+1,	HH22:	0.4		20	HH21	0.391052	0.391	 0.391

[HIS]
						Atom	RawBKAvg	Charges	Edit
CHARGE,	HISBK,	 N  :	-0.35		0	N	-0.395172667	-0.395	-0.403
CHARGE,	HISBK,	 H  :	0.25		4	H	0.269206333	0.269	 0.261
CHARGE,	HISBK,	 CA :	0.1		1	CA	0.003653333	0.004	-0.004
CHARGE,	HISBK,	 HA :	0		5	HA	0.108861	0.109	 0.101
CHARGE,	HISBK,	 C  :	0.55		2	C	0.617999	0.618	 0.610
CHARGE,	HISBK,	 O  :	-0.55		3	O	-0.556964667	-0.557	-0.565
CHARGE,	HIS01,	CB :	0.125		6	CB	-0.152267	-0.152	-0.152
CHARGE,	HIS01,	HB2:	0		12	HB1	0.054608	0.055	 0.055
CHARGE,	HIS01,	HB3:	0		13	HB2	0.054608	0.055	 0.055
CHARGE,	HIS01,	CG :	0.155		7	CG	0.278406	0.278	 0.279
CHARGE,	HIS01,	ND1:	-0.56		8	ND1	-0.423316	-0.423	-0.423
CHARGE,	HIS01,	CE1:	0.155		10	CE1	0.02596	         0.026	 0.026
CHARGE,	HIS01,	HE1:	0.125		16	HE1	0.126832	0.127	 0.127
CHARGE,	HIS01,	NE2:	-0.4		11	NE2	-0.097984	-0.098	-0.098
CHARGE,	HIS01,	HE2:	0.4		15	HE2	0.266865	0.267	 0.267
CHARGE,	HIS01,	CD2:	-0.125		9	CD2	-0.297563	-0.298	-0.297
CHARGE,	HIS01,	HD2:	0.125		14	HD2	0.160413	0.160	 0.161
CHARGE,	HIS02,	CB :	0.125		6	CB	-0.122638	-0.123	-0.121
CHARGE,	HIS02,	HB2:	0		12	HB1	0.086329	0.086	 0.088
CHARGE,	HIS02,	HB3:	0		13	HB2	0.086329	0.086	 0.088
CHARGE,	HIS02,	CG :	-0.125		7	CG	-0.001547	-0.002	 0.000
CHARGE,	HIS02,	ND1:	-0.4		8	ND1	-0.205785	-0.206	-0.204
CHARGE,	HIS02,	HD1:	0.4		15	HE2	0.318273	0.318	 0.320
CHARGE,	HIS02,	CE1:	0.155		10	CE1	0.147273	0.147	 0.149
CHARGE,	HIS02,	HE1:	0.125		16	HE1	0.122182	0.122	 0.124
CHARGE,	HIS02,	NE2:	-0.56		11	NE2	-0.601482	-0.601	-0.600
CHARGE,	HIS02,	CD2:	0.155		9	CD2	0.043744	0.044	 0.045
CHARGE,	HIS02,	HD2:	0.125		14	HD2	0.110157	0.110	 0.112
CHARGE,	HIS+1,	CB :	0.125		1	CB	-0.105724	-0.106	-0.096
CHARGE,	HIS+1,	HB2:	0		6	HB1	0.102146	0.102	 0.112
CHARGE,	HIS+1,	HB3:	0		7	HB2	0.102146	0.102	 0.112
CHARGE,	HIS+1,	CG ":	0.142		2	CG	0.051128	0.051	 0.061
CHARGE,	HIS+1,	ND1":	-0.35		11	ND1	0.0021	        0.002	 0.012
CHARGE,	HIS+1,	HD1":	0.45		5	H01	0.258443	0.258	 0.269
CHARGE,	HIS+1,	CE1":	0.141		4	CE1	-0.033333	-0.033	-0.023
CHARGE,	HIS+1,	HE1":	0.125		9	HE1	0.218884	0.219	 0.229
CHARGE,	HIS+1,	NE2":	-0.35		12	NE2	-0.140978	-0.141	-0.131
CHARGE,	HIS+1,	HE2":	0.45		10	HE2	0.353373	0.353	 0.364
CHARGE,	HIS+1,	CD2":	0.142		3	CD2	-0.143848	-0.144	-0.134
CHARGE,	HIS+1,	HD2:	0.125		8	HD2	0.213519	0.214	 0.224



